yminusthree yminustwo yminusone tot_obs_egg tot_est_egg tot_mat_B tcb Threshold res_SR res_tot_egg init_age_3 tot_sp_B tot_sp_N tot_mat_N tot_post_N N sel_naa_prop3 sel_naa_prop4 sel_naa_prop5 sel_naa_prop6 sel_naa_prop7 sel_naa_prop8 obs_c_comp3 obs_c_comp4 obs_c_comp5 obs_c_comp6 obs_c_comp7 obs_c_comp8 est_sp_comp3 est_sp_comp4 est_sp_comp5 est_sp_comp6 est_sp_comp7 est_sp_comp8 obs_sp_comp3 obs_sp_comp4 obs_sp_comp5 obs_sp_comp6 obs_sp_comp7 obs_sp_comp8 SR Year
 45770.6 45793.9 45607.4 3.15 3.23519 41280.9 4385 7500 1.20851 -0.026686 186.891 37302.9 443.122 489.596 661.265 707.739 0.0847768 0.711729 0.173961 0.0295328 6.98061e-09 8.77047e-08 0.160562 0.696965 0.12752 0.0124888 0.00246416 0 0.111252 0.740964 0.128074 0.0197104 4.57669e-09 5.73346e-08 0.167845 0.714579 0.110875 0.0134343 1e-07 1e-07 160.711 1980
 46312.1 46510.1 46429.1 3 3.47476 42049.1 3506 7500 0.331837 -0.146914 69.07 38868.5 348.914 376.688 423.018 450.791 0.0334247 0.180394 0.665804 0.104384 0.0159935 5.02602e-08 0 0.08 0.72 0.18 0.02 0 0.0537295 0.231736 0.613669 0.0876588 0.0132067 4.13885e-08 0.02 0.25 0.62 0.11 0.01 0 164.103 1981
 32862.1 32837.8 32921.8 2.972 2.33305 29935.4 4363 7500 -0.541527 0.242057 66.3476 25977.4 221.533 254.292 277.779 310.538 0.0445995 0.0933308 0.226133 0.54642 0.0777883 0.0117285 0.193548 0.0322581 0.139785 0.473118 0.16129 0 0.0787185 0.130563 0.223292 0.488802 0.0683491 0.0102751 0.119119 0.0157089 0.212325 0.59616 0.0464017 0.0103652 129.552 1982
 39199.5 39167.7 39217.9 2.63 2.7547 35665.6 5450 7500 0.470505 -0.0463235 538.137 30721.5 266.8 306.142 659.146 698.488 0.369751 0.0908404 0.0833527 0.129201 0.281541 0.0453137 0.39 0.06 0.02 0.08 0.41 0.04 0.520041 0.100749 0.0645822 0.0903567 0.19326 0.0310103 0.674681 0.1012 0.0171821 0.0405835 0.152917 0.0134364 144.102 1983
 46945.5 46842 46735.2 3.25 3.68075 42222.2 5830 7500 2.00907 -0.124461 228.681 36933.3 342.671 388.708 563.142 609.179 0.127601 0.59528 0.0632204 0.0365779 0.0509051 0.126416 0.148515 0.663366 0.0693069 0.0693069 0.039604 0.00990099 0.172959 0.63716 0.0474072 0.0247826 0.0338594 0.0838318 0.12 0.69 0.07 0.05 0.05 0.02 159.88 1984
 40912.5 40888.4 40887.3 3.025 3.02879 36955.8 7475 7500 -0.0378103 -0.00125188 75.3808 30174.6 262.704 319.214 343.95 400.459 0.0444717 0.26783 0.542208 0.0364537 0.0189596 0.0900771 0.01 0.16 0.63 0.1 0.05 0.05 0.0721722 0.340447 0.47484 0.028671 0.0146222 0.0692474 0.0625 0.427083 0.479167 0.03125 0.0104167 0.0104167 142.541 1985
 32530.3 32570.6 32581.1 2.58 2.47687 29611.2 5443 7500 -1.93413 0.040794 230.679 24673.4 214.593 254.901 388.92 429.228 0.171423 0.110332 0.282 0.353074 0.0211843 0.0619862 0.06 0.04 0.31 0.53 0.05 0.01 0.274015 0.138645 0.246003 0.27738 0.0163282 0.0476281 0.31 0.06 0.22 0.34 0.04 0.04 125.139 1986
 49387.9 49812.9 49395.6 4.201 3.97135 45108.2 4216 7500 -2.20258 0.0562155 1192.13 41283.5 497.202 539.435 1374.41 1416.64 0.529357 0.202457 0.0558548 0.0892282 0.10003 0.0230724 0.535354 0.171717 0.040404 0.10101 0.141414 0.010101 0.63804 0.194033 0.0380279 0.0551593 0.0607643 0.0139755 0.53 0.17 0.04 0.1 0.14 0.01 168.945 1987
 65091.1 65430.3 64734.8 5.871 4.80336 58645.7 9575 7500 1.68631 0.200709 137.252 49959.4 603.755 704.782 829.613 930.64 0.0423566 0.735551 0.124478 0.0221692 0.0320247 0.0434209 0.02 0.85 0.06 0.03 0.03 0.01 0.0576699 0.786263 0.0921212 0.0147607 0.0209159 0.0282696 0.02 0.85 0.06 0.03 0.03 0.01 182.771 1988
 45414.4 45565.6 45456.5 2.7 2.92986 41173.5 12135 7500 -1.73725 -0.0817019 18.0888 30164.8 340.856 462.484 375.362 496.99 0.00680926 0.101991 0.756468 0.0797127 0.0126965 0.0423227 0.0306122 0.244898 0.673469 0.0306122 0.0204082 0 0.0126874 0.146702 0.726824 0.0679957 0.010596 0.0351944 0.01 0.19 0.75 0.02 0.01 0.01 142.513 1989
